file_id,neighborhood,date,count,type,x,y
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,8,1,6282671.204586229,1841133.0287244506
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6280679.896991536,1840417.8614722725
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6281339.818416681,1840417.2137426643
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,2,6281019.902137179,1841904.4491283502
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,2,6281310.663997935,1842099.2960273975
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,2,6282203.695744338,1841997.307142947
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,2,6282488.541474507,1841907.7965159388
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,2,6282489.2517900495,1841542.9911849117
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,2,6282754.928497371,1841330.018641792
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,2,6282909.0873096585,1841903.4435100292
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,2,6283187.1380442465,1841980.9446648464
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,2,6280145.404258267,1841530.4047783925
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,2,6282212.256079752,1841970.4983847141
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,2,6282624.651809038,1841910.7529375174
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,2,6282915.654769528,1842025.996072449
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,2,6283193.0217270795,1842029.6056767784
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,3,2,6283543.707707707,1842392.647980641
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,7,1,6280188.892183285,1842256.4458161243
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,3,1,6280186.435120234,1841883.9311057187
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6280747.536575247,1841878.6727161044
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6280261.617067629,1841547.9425712342
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6280523.996637563,1841235.0355542386
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6280678.619441639,1841208.7506499733
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6280694.8554878095,1840736.7173596795
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6280526.023366084,1840564.4486342485
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6280383.152816608,1840416.7724578048
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,5,1,6281285.604109648,1841314.8235846611
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6281252.619780675,1841203.3713778392
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,3,1,6281304.645651298,1842245.9894781555
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,3,1,6281303.580923975,1842084.5664369797
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6281238.472238097,1841992.0421719777
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6281386.932257517,1842009.2777585196
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,16,1,6281373.255303527,1841891.4356494108
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6281390.678930173,1841599.4511358133
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6281513.300230496,1841610.719908888
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6281796.420462194,1841508.7232373427
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6281806.637400883,1842079.8520187049
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6282069.876942885,1841897.3251503515
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6282077.779798706,1841139.7576900066
